#Gene_name	pLi	pRec	pNull	Gene_full_name	Function_description	Disease_description	Tissue_specificity(Uniprot)	Expression(egenetics)	Expression(GNF/Atlas)	P(HI)	P(rec)	RVIS	RVIS_percentile	GDI	GDI-Phred
ACTRT2	0.0187224605335923	0.730881455762693	0.250396083703715	actin related protein T2	.	.	.	.	.	0.04694	0.44682	0.486911049	79.46449634	2632.34552	9.62130
ACTRT3	0.000670123620467876	0.504255395053519	0.495074481326014	actin-related protein T3	.	.	TISSUE SPECIFICITY: Ubiquitously expressed. {ECO:0000269|PubMed:11750065}.; 	.	.	.	.	0.949904335	90.00943619	530.24293	4.70007
ACVR1	0.95644819340706	0.0435472765813608	4.53001157960967e-06	activin A receptor type 1	FUNCTION: On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Receptor for activin. May be involved for left-right pattern formation during embryogenesis (By similarity). {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Expressed in normal parenchymal cells, endothelial cells, fibroblasts and tumor-derived epithelial cells.; 	ovary;colon;parathyroid;fovea centralis;skin;retina;bone marrow;uterus;prostate;cochlea;synovium;bone;thyroid;testis;brain;artery;unclassifiable (Anatomical System);cartilage;heart;islets of Langerhans;muscle;blood;skeletal muscle;breast;pancreas;lung;epididymis;trabecular meshwork;placenta;macula lutea;liver;hypopharynx;spleen;head and neck;kidney;stomach;aorta;peripheral nerve;	superior cervical ganglion;trigeminal ganglion;skeletal muscle;	0.99535	0.38424	-0.514264485	21.41424864	58.72963	1.55397
ACVR1B	0.998904331171601	0.00109565560801258	1.32203864019754e-08	activin A receptor type 1B	FUNCTION: Transmembrane serine/threonine kinase activin type-1 receptor forming an activin receptor complex with activin receptor type-2 (ACVR2A or ACVR2B). Transduces the activin signal from the cell surface to the cytoplasm and is thus regulating a many physiological and pathological processes including neuronal differentiation and neuronal survival, hair follicle development and cycling, FSH production by the pituitary gland, wound healing, extracellular matrix production, immunosuppression and carcinogenesis. Activin is also thought to have a paracrine or autocrine role in follicular development in the ovary. Within the receptor complex, type-2 receptors (ACVR2A and/or ACVR2B) act as a primary activin receptors whereas the type-1 receptors like ACVR1B act as downstream transducers of activin signals. Activin binds to type-2 receptor at the plasma membrane and activates its serine- threonine kinase. The activated receptor type-2 then phosphorylates and activates the type-1 receptor such as ACVR1B. Once activated, the type-1 receptor binds and phosphorylates the SMAD proteins SMAD2 and SMAD3, on serine residues of the C- terminal tail. Soon after their association with the activin receptor and subsequent phosphorylation, SMAD2 and SMAD3 are released into the cytoplasm where they interact with the common partner SMAD4. This SMAD complex translocates into the nucleus where it mediates activin-induced transcription. Inhibitory SMAD7, which is recruited to ACVR1B through FKBP1A, can prevent the association of SMAD2 and SMAD3 with the activin receptor complex, thereby blocking the activin signal. Activin signal transduction is also antagonized by the binding to the receptor of inhibin-B via the IGSF1 inhibin coreceptor. ACVR1B also phosphorylates TDP2. {ECO:0000269|PubMed:12364468, ECO:0000269|PubMed:12639945, ECO:0000269|PubMed:18039968, ECO:0000269|PubMed:20226172, ECO:0000269|PubMed:8196624, ECO:0000269|PubMed:9032295, ECO:0000269|PubMed:9892009}.; 	DISEASE: Note=ACVRIB is abundantly expressed in systemic sclerosis patient fibroblasts and production of collagen is also induced by activin-A/INHBA. This suggests that the activin/ACRV1B signaling mechanism is involved in systemic sclerosis. {ECO:0000269|PubMed:21377836}.; 	TISSUE SPECIFICITY: Expressed in many tissues, most strongly in kidney, pancreas, brain, lung, and liver.; 	ovary;colon;parathyroid;fovea centralis;skin;retina;bone marrow;uterus;prostate;frontal lobe;endometrium;thyroid;bone;testis;brain;unclassifiable (Anatomical System);heart;cartilage;islets of Langerhans;hypothalamus;blood;skeletal muscle;pancreas;lung;placenta;macula lutea;visual apparatus;hippocampus;liver;hypopharynx;alveolus;spleen;head and neck;kidney;mammary gland;	superior cervical ganglion;subthalamic nucleus;prefrontal cortex;appendix;ciliary ganglion;kidney;pons;atrioventricular node;trigeminal ganglion;skeletal muscle;cerebellum;	0.88541	0.29686	-0.405853867	26.23260203	17.03945	0.59931
ACVR1C	0.0448910050879584	0.953978200800952	0.00113079411108909	activin A receptor type 1C	FUNCTION: Serine/threonine protein kinase which forms a receptor complex on ligand binding. The receptor complex consisting of 2 type II and 2 type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators, SMAD2 and SMAD3. Receptor for activin AB, activin B and NODAL. Plays a role in cell differentiation, growth arrest and apoptosis. {ECO:0000269|PubMed:12063393, ECO:0000269|PubMed:15531507}.; 	.	TISSUE SPECIFICITY: Present in pancreas, heart, colon, small intestine, ovary and the hippocampus, medulla oblongata and putamen of the brain. Isoform 1, isoform 2, isoform 3 and isoform 4 are all expressed in the placenta throughout pregnancy. {ECO:0000269|PubMed:12063393, ECO:0000269|PubMed:12606401}.; 	unclassifiable (Anatomical System);hypothalamus;skin;stomach;	superior cervical ganglion;atrioventricular node;	0.75935	0.15405	-0.049474214	50.01179523	1586.75893	7.36956
ACVR2A	0.993932261799491	0.00606756398098532	1.74219524051703e-07	activin A receptor type 2A	FUNCTION: On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Receptor for activin A, activin B and inhibin A.; 	.	.	unclassifiable (Anatomical System);medulla oblongata;cartilage;heart;ovary;tongue;colon;parathyroid;skeletal muscle;uterus;whole body;lung;frontal lobe;nasopharynx;placenta;liver;testis;spleen;kidney;brain;mammary gland;	dorsal root ganglion;superior cervical ganglion;ciliary ganglion;atrioventricular node;pons;trigeminal ganglion;skin;skeletal muscle;	0.69088	0.23984	-0.339715008	30.06605331	11.33135	0.40758
ACVR2B	0.993110896136122	0.00688886623028246	2.37633596019545e-07	activin A receptor type 2B	FUNCTION: Transmembrane serine/threonine kinase activin type-2 receptor forming an activin receptor complex with activin type-1 serine/threonine kinase receptors (ACVR1, ACVR1B or ACVR1c). Transduces the activin signal from the cell surface to the cytoplasm and is thus regulating many physiological and pathological processes including neuronal differentiation and neuronal survival, hair follicle development and cycling, FSH production by the pituitary gland, wound healing, extracellular matrix production, immunosuppression and carcinogenesis. Activin is also thought to have a paracrine or autocrine role in follicular development in the ovary. Within the receptor complex, the type-2 receptors act as a primary activin receptors (binds activin-A/INHBA, activin-B/INHBB as well as inhibin-A/INHA-INHBA). The type-1 receptors like ACVR1B act as downstream transducers of activin signals. Activin binds to type-2 receptor at the plasma membrane and activates its serine-threonine kinase. The activated receptor type-2 then phosphorylates and activates the type-1 receptor. Once activated, the type-1 receptor binds and phosphorylates the SMAD proteins SMAD2 and SMAD3, on serine residues of the C-terminal tail. Soon after their association with the activin receptor and subsequent phosphorylation, SMAD2 and SMAD3 are released into the cytoplasm where they interact with the common partner SMAD4. This SMAD complex translocates into the nucleus where it mediates activin-induced transcription. Inhibitory SMAD7, which is recruited to ACVR1B through FKBP1A, can prevent the association of SMAD2 and SMAD3 with the activin receptor complex, thereby blocking the activin signal. Activin signal transduction is also antagonized by the binding to the receptor of inhibin-B via the IGSF1 inhibin coreceptor. {ECO:0000269|PubMed:8622651}.; 	DISEASE: Heterotaxy, visceral, 4, autosomal (HTX4) [MIM:613751]: A form of visceral heterotaxy, a complex disorder due to disruption of the normal left-right asymmetry of the thoracoabdominal organs. Visceral heterotaxy or situs ambiguus results in randomization of the placement of visceral organs, including the heart, lungs, liver, spleen, and stomach. The organs are oriented randomly with respect to the left-right axis and with respect to one another. It can been associated with variety of congenital defects including cardiac malformations. HTX4 clinical features include dextrocardia, right aortic arch and a right-sided spleen, anomalies of the inferior and the superior vena cava, atrial ventricular canal defect with dextro-transposed great arteries, pulmonary stenosis, polysplenia and midline liver. {ECO:0000269|PubMed:9916847}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	unclassifiable (Anatomical System);prostate;optic nerve;cartilage;ovary;heart;placenta;macula lutea;adrenal medulla;fovea centralis;choroid;lens;brain;retina;	skeletal muscle;	0.85887	0.31462	-0.778825328	12.88039632	47.22568	1.33203
ACVR2B-AS1	.	.	.	ACVR2B antisense RNA 1	.	.	.	.	.	.	.	.	.	.	.
ACVRL1	0.00794107205683194	0.977623496478128	0.0144354314650395	activin A receptor like type 1	FUNCTION: Type I receptor for TGF-beta family ligands BMP9/GDF2 and BMP10 and important regulator of normal blood vessel development. On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. May bind activin as well. {ECO:0000269|PubMed:22718755, ECO:0000269|PubMed:22799562}.; 	DISEASE: Telangiectasia, hereditary hemorrhagic, 2 (HHT2) [MIM:600376]: A multisystemic vascular dysplasia leading to dilation of permanent blood vessels and arteriovenous malformations of skin, mucosa, and viscera. The disease is characterized by recurrent epistaxis and gastro-intestinal hemorrhage. Visceral involvement includes arteriovenous malformations of the lung, liver, and brain. {ECO:0000269|PubMed:10694922, ECO:0000269|PubMed:10767348, ECO:0000269|PubMed:11170071, ECO:0000269|PubMed:11484689, ECO:0000269|PubMed:14684682, ECO:0000269|PubMed:15024723, ECO:0000269|PubMed:15712270, ECO:0000269|PubMed:16525724, ECO:0000269|PubMed:16752392, ECO:0000269|PubMed:20414677, ECO:0000269|PubMed:8640225, ECO:0000269|PubMed:9245985}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	.	.	0.92997	0.44126	-1.021348453	7.997169144	141.01923	2.59109
ACY1	7.69184316863466e-05	0.919648939987416	0.0802741415808979	aminoacylase 1	FUNCTION: Involved in the hydrolysis of N-acylated or N-acetylated amino acids (except L-aspartate). {ECO:0000269|PubMed:12933810}.; 	.	TISSUE SPECIFICITY: Expression is highest in kidney, strong in brain and weaker in placenta and spleen. {ECO:0000269|PubMed:16465618}.; 	.	.	0.08140	0.27687	0.330767508	73.53739089	571.71377	4.85077
ACY3	1.8844549900242e-07	0.135886661226776	0.864113150327725	aminoacylase 3	FUNCTION: Plays an important role in deacetylating mercapturic acids in kidney proximal tubules. Also acts on N-acetyl-aromatic amino acids (By similarity). {ECO:0000250}.; 	.	.	unclassifiable (Anatomical System);prostate;lung;liver;testis;colon;spleen;kidney;mammary gland;stomach;	superior cervical ganglion;liver;atrioventricular node;kidney;	0.14142	0.12606	-0.244249595	36.17008728	83.94169	1.95075
ACYP1	0.223001663900667	0.647266185825863	0.12973215027347	acylphosphatase 1	FUNCTION: Its physiological role is not yet clear.; 	.	TISSUE SPECIFICITY: Organ-common type isozyme is found in many different tissues.; 	ovary;salivary gland;colon;parathyroid;skin;uterus;prostate;whole body;endometrium;bone;testis;germinal center;brain;bladder;unclassifiable (Anatomical System);cartilage;heart;islets of Langerhans;pharynx;blood;breast;lung;nasopharynx;placenta;visual apparatus;alveolus;liver;spleen;kidney;mammary gland;stomach;	.	0.31679	0.08636	-0.031067188	51.03798066	1114.57439	6.37822
ACYP2	0.000220644831166404	0.301669892161657	0.698109463007176	acylphosphatase 2	FUNCTION: Its physiological role is not yet clear.; 	.	.	ovary;colon;parathyroid;fovea centralis;skin;uterus;prostate;frontal lobe;pituitary gland;testis;germinal center;brain;tonsil;unclassifiable (Anatomical System);heart;cerebellum cortex;skeletal muscle;lung;trabecular meshwork;placenta;hippocampus;macula lutea;alveolus;spleen;kidney;stomach;	amygdala;whole brain;dorsal root ganglion;superior cervical ganglion;thalamus;occipital lobe;cerebellum peduncles;atrioventricular node;pons;skeletal muscle;skin;subthalamic nucleus;globus pallidus;ciliary ganglion;trigeminal ganglion;parietal lobe;cingulate cortex;	0.20016	0.20159	0.080983847	59.76055674	900.98355	5.84521
AD5	.	.	.	Alzheimer disease 5	.	.	.	.	.	.	.	.	.	.	.
ADA	2.83298527981767e-09	0.15626777593656	0.843732221230454	adenosine deaminase	FUNCTION: Catalyzes the hydrolytic deamination of adenosine and 2- deoxyadenosine. Plays an important role in purine metabolism and in adenosine homeostasis. Modulates signaling by extracellular adenosine, and so contributes indirectly to cellular signaling events. Acts as a positive regulator of T-cell coactivation, by binding DPP4. Its interaction with DPP4 regulates lymphocyte- epithelial cell adhesion. {ECO:0000269|PubMed:11772392}.; 	DISEASE: Severe combined immunodeficiency autosomal recessive T- cell-negative/B-cell-negative/NK-cell-negative due to adenosine deaminase deficiency (ADASCID) [MIM:102700]: An autosomal recessive disorder accounting for about 50% of non-X-linked SCIDs. SCID refers to a genetically and clinically heterogeneous group of rare congenital disorders characterized by impairment of both humoral and cell-mediated immunity, leukopenia, and low or absent antibody levels. Patients with SCID present in infancy with recurrent, persistent infections by opportunistic organisms. The common characteristic of all types of SCID is absence of T-cell- mediated cellular immunity due to a defect in T-cell development. ADA deficiency has been diagnosed in chronically ill teenagers and adults (late or adult onset). Population and newborn screening programs have also identified several healthy individuals with normal immunity who have partial ADA deficiency. {ECO:0000269|PubMed:10200056, ECO:0000269|PubMed:1284479, ECO:0000269|PubMed:2166947, ECO:0000269|PubMed:2783588, ECO:0000269|PubMed:3182793, ECO:0000269|PubMed:3839802, ECO:0000269|PubMed:6208479, ECO:0000269|PubMed:7599635, ECO:0000269|PubMed:8227344, ECO:0000269|PubMed:8299233}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Found in all tissues, occurs in large amounts in T-lymphocytes and, at the time of weaning, in gastrointestinal tissues.; 	.	.	0.11131	0.68435	-0.091746757	46.91554612	812.89077	5.60704
ADAD1	0.974992286651792	0.0250065722656532	1.14108255446672e-06	adenosine deaminase domain containing 1	FUNCTION: Plays a role in spermatogenesis. Binds to RNA but not to DNA (By similarity). {ECO:0000250}.; 	.	.	unclassifiable (Anatomical System);bile duct;lung;testis;	superior cervical ganglion;testis - interstitial;testis - seminiferous tubule;testis;ciliary ganglion;atrioventricular node;trigeminal ganglion;	0.10402	0.12427	-0.22584292	37.32012267	57.5578	1.53148
ADAD1P1	.	.	.	adenosine deaminase domain containing 1 pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
ADAD1P2	.	.	.	adenosine deaminase domain containing 1 pseudogene 2	.	.	.	.	.	.	.	.	.	.	.
ADAD2	6.70177251389337e-05	0.905678277009936	0.0942547052649253	adenosine deaminase domain containing 2	.	.	.	unclassifiable (Anatomical System);medulla oblongata;optic nerve;lung;thyroid;macula lutea;testis;fovea centralis;choroid;lens;retina;	superior cervical ganglion;testis - seminiferous tubule;testis;globus pallidus;ciliary ganglion;atrioventricular node;skeletal muscle;	0.06177	.	0.141451114	63.65298419	3256.58012	10.86933
ADAL	8.52495696643507e-09	0.044008879383272	0.955991112091771	adenosine deaminase-like	FUNCTION: Putative nucleoside deaminase. May catalyze the hydrolytic deamination of adenosine or some similar substrate and play a role in purine metabolism (By similarity). {ECO:0000250}.; 	.	.	.	.	0.06081	0.11351	0.260991686	70.25831564	135.20538	2.52983
ADAM1A	.	.	.	ADAM metallopeptidase domain 1A (pseudogene)	.	.	.	.	.	.	.	.	.	.	.
ADAM1B	.	.	.	ADAM metallopeptidase domain 1B (pseudogene)	.	.	.	.	.	.	.	.	.	.	.
ADAM2	7.2128414191772e-14	0.114372502622368	0.88562749737756	ADAM metallopeptidase domain 2	FUNCTION: Sperm surface membrane protein that may be involved in sperm-egg plasma membrane adhesion and fusion during fertilization. Could have a direct role in sperm-zona binding or migration of sperm from the uterus into the oviduct. Interactions with egg membrane could be mediated via binding between its disintegrin-like domain to one or more integrins receptors on the egg. This is a non catalytic metalloprotease-like protein.; 	.	TISSUE SPECIFICITY: Expressed specifically in spermatogenic cells in the seminiferous cells. Not detected in fetal tissues.; 	unclassifiable (Anatomical System);testis;	testis - interstitial;testis - seminiferous tubule;temporal lobe;globus pallidus;testis;trigeminal ganglion;	0.24145	0.11638	0.870809653	88.86529842	460.37141	4.45049
ADAM3A	.	.	.	ADAM metallopeptidase domain 3A (pseudogene)	.	.	.	.	.	.	.	.	.	.	.
ADAM3B	.	.	.	ADAM metallopeptidase domain 3B (pseudogene)	.	.	.	.	.	.	.	.	.	.	.
ADAM5	.	.	.	ADAM metallopeptidase domain 5 (pseudogene)	FUNCTION: This is a non catalytic metalloprotease-like protein. {ECO:0000250, ECO:0000269|PubMed:10417343}.; 	.	TISSUE SPECIFICITY: Highly expressed in testis. {ECO:0000269|PubMed:10417343}.; 	.	.	0.09807	.	.	.	.	.
ADAM6	.	.	.	ADAM metallopeptidase domain 6 (pseudogene)	.	.	.	.	.	.	.	.	.	.	.
ADAM7	1.73705605343028e-12	0.5598958791443	0.440104120853963	ADAM metallopeptidase domain 7	FUNCTION: May play an important role in male reproduction including sperm maturation and gonadotrope function. This is a non catalytic metalloprotease-like protein (By similarity). {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Not detected in healthy melanocytes. Expressed in melanoma cells. {ECO:0000269|PubMed:21618342}.; 	lung;testis;skeletal muscle;	superior cervical ganglion;testis;skeletal muscle;	0.32611	0.08967	0.119404819	62.20806794	2343.44208	8.96873
ADAM8	1.47656059828336e-07	0.952266371267968	0.0477334810759718	ADAM metallopeptidase domain 8	FUNCTION: Possible involvement in extravasation of leukocytes.; 	.	TISSUE SPECIFICITY: Expressed on neutrophils and monocytes.; 	.	.	0.35433	0.14301	.	.	1193.01078	6.55037
ADAM9	0.828249261024913	0.17175068553127	5.34438166180761e-08	ADAM metallopeptidase domain 9	FUNCTION: Probable zinc protease. May mediate cell-cell or cell- matrix interactions. Isoform 2 displays alpha-secretase activity for APP. {ECO:0000269|PubMed:12054541}.; 	.	TISSUE SPECIFICITY: Widely expressed. Expressed in chondrocytes. Isoform 2 is highly expressed in liver and heart. {ECO:0000269|PubMed:12054541, ECO:0000269|PubMed:7584026, ECO:0000269|PubMed:8647900, ECO:0000269|PubMed:9016778}.; 	.	.	0.23427	0.21827	-0.201976964	38.98325077	410.4595	4.24565
ADAM10	0.999844506827148	0.000155493149876821	2.29750539532457e-11	ADAM metallopeptidase domain 10	FUNCTION: Cleaves the membrane-bound precursor of TNF-alpha at '76-Ala-|-Val-77' to its mature soluble form. Responsible for the proteolytical release of soluble JAM3 from endothelial cells surface. Responsible for the proteolytic release of several other cell-surface proteins, including heparin-binding epidermal growth- like factor, ephrin-A2 and for constitutive and regulated alpha- secretase cleavage of amyloid precursor protein (APP). Contributes to the normal cleavage of the cellular prion protein. Involved in the cleavage of the adhesion molecule L1 at the cell surface and in released membrane vesicles, suggesting a vesicle-based protease activity. Controls also the proteolytic processing of Notch and mediates lateral inhibition during neurogenesis. Responsible for the FasL ectodomain shedding and for the generation of the remnant ADAM10-processed FasL (FasL APL) transmembrane form. Also cleaves the ectodomain of the integral membrane proteins CORIN and ITM2B. May regulate the EFNA5-EPHA3 signaling. {ECO:0000269|PubMed:11477090, ECO:0000269|PubMed:11786905, ECO:0000269|PubMed:12475894, ECO:0000269|PubMed:16239146, ECO:0000269|PubMed:17557115, ECO:0000269|PubMed:19114711, ECO:0000269|PubMed:20592283, ECO:0000269|PubMed:21288900}.; 	DISEASE: Reticulate acropigmentation of Kitamura (RAK) [MIM:615537]: A rare cutaneous pigmentation disorder characterized by reticulate, slightly depressed, sharply demarcated brown macules without hypopigmentation, affecting the dorsa of the hands and feet and appearing in the first or second decade of life. The macules gradually darken and extend to the proximal regions of the extremities. The manifestations tend to progress until middle age, after which progression of the eruptions stops. The pigmentary augmentation is found on the flexor aspects of the wrists, neck, patella and olecranon. Other features include breaks in the epidermal ridges on the palms and fingers, palmoplantar pits, occasionally plantar keratoderma, and partial alopecia. {ECO:0000269|PubMed:23666529}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Alzheimer disease 18 (AD18) [MIM:615590]: A late-onset form of Alzheimer disease, a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituent of these plaques is the neurotoxic amyloid-beta-APP 40-42 peptide (s), derived proteolytically from the transmembrane precursor protein APP by sequential secretase processing. The cytotoxic C- terminal fragments (CTFs) and the caspase-cleaved products such as C31 derived from APP, are also implicated in neuronal death. {ECO:0000269|PubMed:19608551}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Expressed in spleen, lymph node, thymus, peripheral blood leukocyte, bone marrow, cartilage, chondrocytes and fetal liver. {ECO:0000269|PubMed:11511685, ECO:0000269|PubMed:9016778}.; 	lymphoreticular;ovary;colon;parathyroid;skin;retina;uterus;prostate;endometrium;bone;iris;testis;germinal center;brain;unclassifiable (Anatomical System);urinary;skeletal muscle;breast;lung;cornea;placenta;liver;spleen;head and neck;mammary gland;stomach;	dorsal root ganglion;superior cervical ganglion;subthalamic nucleus;olfactory bulb;ciliary ganglion;atrioventricular node;trigeminal ganglion;whole blood;skeletal muscle;	0.98992	0.37464	-0.381986487	27.68931352	39.95883	1.17527
ADAM11	0.0247363812211132	0.975262666402143	9.52376743974707e-07	ADAM metallopeptidase domain 11	FUNCTION: Probable ligand for integrin in the brain. This is a non catalytic metalloprotease-like protein.; 	.	TISSUE SPECIFICITY: Expressed predominantly in brain. Slightly detected or not at all in other tissues.; 	unclassifiable (Anatomical System);optic nerve;macula lutea;visual apparatus;duodenum;fovea centralis;choroid;lens;stomach;retina;	whole brain;subthalamic nucleus;superior cervical ganglion;thalamus;cerebellum peduncles;globus pallidus;ciliary ganglion;	0.14806	0.11452	-1.065444789	7.425100259	91.69001	2.05927
ADAM12	0.341608446907088	0.658390535044096	1.01804881541918e-06	ADAM metallopeptidase domain 12	FUNCTION: Involved in skeletal muscle regeneration, specifically at the onset of cell fusion. Also involved in macrophage-derived giant cells (MGC) and osteoclast formation from mononuclear precursors (By similarity). {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Isoform 1 is expressed in placenta and skeletal, cardiac, and smooth muscle. Isoform 2 seems to be expressed only in placenta or in embryo and fetus. Both forms were expressed in some tumor cells lines. Not detected in brain, lung, liver, kidney or pancreas.; 	.	.	0.65368	0.23183	0.009173042	54.15782024	245.04565	3.37758
ADAM15	1.07719204651477e-11	0.974966019158996	0.0250339808302319	ADAM metallopeptidase domain 15	FUNCTION: Active metalloproteinase with gelatinolytic and collagenolytic activity. Plays a role in the wound healing process. Mediates both heterotypic intraepithelial cell/T-cell interactions and homotypic T-cell aggregation. Inhibits beta-1 integrin-mediated cell adhesion and migration of airway smooth muscle cells. Suppresses cell motility on or towards fibronectin possibly by driving alpha-v/beta-1 integrin (ITAGV-ITGB1) cell surface expression via ERK1/2 inactivation. Cleaves E-cadherin in response to growth factor deprivation. Plays a role in glomerular cell migration. Plays a role in pathological neovascularization. May play a role in cartilage remodeling. May be proteolytically processed, during sperm epididymal maturation and the acrosome reaction. May play a role in sperm-egg binding through its disintegrin domain. {ECO:0000269|PubMed:12091380, ECO:0000269|PubMed:15358598, ECO:0000269|PubMed:15818704, ECO:0000269|PubMed:17416588, ECO:0000269|PubMed:17575078, ECO:0000269|PubMed:18387333, ECO:0000269|PubMed:18434311}.; 	.	TISSUE SPECIFICITY: Expressed in colon and small intestine. Expressed in airway smooth muscle and glomerular mesangial cells (at protein level). Ubiquitously expressed. Overexpressed in atherosclerotic lesions. Constitutively expressed in cultured endothelium and smooth muscle. Expressed in chondrocytes. Expressed in airway smooth muscle and glomerular mesangial cells. {ECO:0000269|PubMed:12091380, ECO:0000269|PubMed:15358598, ECO:0000269|PubMed:17575078, ECO:0000269|PubMed:9016778}.; 	ovary;colon;parathyroid;fovea centralis;choroid;skin;retina;bone marrow;uterus;prostate;optic nerve;whole body;frontal lobe;cerebral cortex;endometrium;thyroid;bone;iris;testis;spinal ganglion;brain;unclassifiable (Anatomical System);cartilage;heart;lacrimal gland;islets of Langerhans;blood;lens;skeletal muscle;breast;pancreas;lung;mesenchyma;placenta;macula lutea;visual apparatus;liver;spleen;cervix;kidney;mammary gland;stomach;	uterus corpus;subthalamic nucleus;superior cervical ganglion;lung;heart;placenta;	0.10358	0.13843	-0.571310997	19.01391838	1734.09415	7.68229
ADAM17	0.997367645320671	0.00263235375094992	9.28379498963014e-10	ADAM metallopeptidase domain 17	FUNCTION: Cleaves the membrane-bound precursor of TNF-alpha to its mature soluble form. Responsible for the proteolytical release of soluble JAM3 from endothelial cells surface. Responsible for the proteolytic release of several other cell-surface proteins, including p75 TNF-receptor, interleukin 1 receptor type II, p55 TNF-receptor, transforming growth factor-alpha, L-selectin, growth hormone receptor, MUC1 and the amyloid precursor protein. Acts as an activator of Notch pathway by mediating cleavage of Notch, generating the membrane-associated intermediate fragment called Notch extracellular truncation (NEXT). Plays a role in the proteolytic processing of ACE2. {ECO:0000269|PubMed:12441351, ECO:0000269|PubMed:20592283, ECO:0000269|PubMed:24226769, ECO:0000269|PubMed:24227843}.; 	DISEASE: Inflammatory skin and bowel disease, neonatal, 1 (NISBD1) [MIM:614328]: A disorder characterized by inflammatory features with neonatal onset, involving the skin, hair, and gut. The skin lesions involve perioral and perianal erythema, psoriasiform erythroderma, with flares of erythema, scaling, and widespread pustules. Gastrointestinal symptoms include malabsorptive diarrhea that is exacerbated by intercurrent gastrointestinal infections. The hair is short or broken, and the eyelashes and eyebrows are wiry and disorganized. {ECO:0000269|PubMed:22010916}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Ubiquitously expressed. Expressed at highest levels in adult heart, placenta, skeletal muscle, pancreas, spleen, thymus, prostate, testes, ovary and small intestine, and in fetal brain, lung, liver and kidney.; 	ovary;parathyroid;choroid;fovea centralis;retina;uterus;prostate;optic nerve;larynx;thyroid;testis;brain;unclassifiable (Anatomical System);cartilage;urinary;lens;skeletal muscle;breast;lung;placenta;visual apparatus;macula lutea;head and neck;kidney;mammary gland;stomach;	dorsal root ganglion;superior cervical ganglion;globus pallidus;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;	0.26201	0.38139	0.598963042	82.7789573	436.35159	4.35624
ADAM18	1.53440056708128e-19	0.00144733735817272	0.998552662641827	ADAM metallopeptidase domain 18	FUNCTION: Sperm surface membrane protein that may be involved in spermatogenesis and fertilization. This is a non catalytic metalloprotease-like protein (By similarity). {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Expressed specifically in testis.; 	unclassifiable (Anatomical System);lung;testis;	superior cervical ganglion;testis - interstitial;testis;ciliary ganglion;trigeminal ganglion;	0.06892	0.08196	0.586023223	82.34843123	973.36033	6.03350
ADAM19	4.20155244794664e-06	0.999906953244522	8.8845203030023e-05	ADAM metallopeptidase domain 19	FUNCTION: Participates in the proteolytic processing of beta-type neuregulin isoforms which are involved in neurogenesis and synaptogenesis, suggesting a regulatory role in glial cell. Also cleaves alpha-2 macroglobulin. May be involved in osteoblast differentiation and/or osteoblast activity in bone (By similarity). {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Expressed in many normal organ tissues and several cancer cell lines.; 	unclassifiable (Anatomical System);lung;endometrium;bone;placenta;visual apparatus;blood;kidney;brain;bone marrow;	dorsal root ganglion;superior cervical ganglion;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;	0.71514	0.13137	0.918552705	89.5730125	5188.76456	14.82439
ADAM20	1.79696117345216e-09	0.0646883290013475	0.935311669201691	ADAM metallopeptidase domain 20	FUNCTION: May be involved in sperm maturation and/or fertilization.; 	.	TISSUE SPECIFICITY: Testis specific.; 	unclassifiable (Anatomical System);testis;	testis - interstitial;superior cervical ganglion;	0.04260	0.07231	-0.130380821	44.03161123	104.15833	2.20511
